,meaning1,meaning2,realizations
1910,to change money,to change (tr.),1
1911,"to check, test",to feel (an emotion),2
1912,"to check, test","to fit, try on",2
1913,to chew,to explain,2
1914,to chew,to ignore,1
1915,to chew,to oppress,1
1916,to chew,to think,1
1917,to choke,to vomit,1
1918,to choose,good,1
1919,to clean,to baptize,1
1920,to clean,"to castrate, geld",2
1921,to clean,"to cure, treat (medically)",1
1922,to clean,to deceive,1
1923,to clean,"to destroy, annihilate",1
1924,to clean,to investigate,1
1925,to clean,to steal,2
1926,to clench fist,to roll up a trunk (of elephant),1
1927,to close one's eyes,to die,2
1928,to close one's eyes,to ignore,1
1929,to clothe,to saddle,1
1930,to come,must,1
1931,to come,to begin,12
1932,to come,"to get, obtain",3
1933,to come,to happen,3
1934,to come,to reach a state,2
1935,to come,to ripen,1
1936,to come,to think,2
1937,to conjure,"to charm, to delight",16
1938,to contain,to remember,2
1939,to cool down (intr.),to calm down,11
1940,to cool down (intr.),to die,1
1941,to copulate,to deceive,1
1942,to correct,"to cure, treat (medically)",1
1943,to cough,to fear,1
1944,to cover,to copulate,3
1945,to crackle,cartilage,2
1946,to crawl,snake,1
1947,to crawl,to be torn,1
1948,to croak,to predict misfortune,1
1949,to cut (tr.),poor,1
1950,to cut (tr.),quick,1
1951,to cut (tr.),spicy,1
1952,to cut (tr.),to begin (tr.),1
1953,to cut (tr.),"to calculate, count",2
1954,to cut (tr.),to copulate,1
1955,to cut (tr.),to cut off relationships,2
1956,to cut (tr.),to decide,14
1957,to cut (tr.),to dilute,5
1958,to cut (tr.),to hinder,2
1959,to cut (tr.),to kill,1
1960,to cut (tr.),to stop doing smth.,7
1961,to cut (tr.),to touch,1
1962,to cut (tr.),to turn sour,1
1963,to cut (tr.),to understand,1
1964,to cut (tr.),"to weaken, loosen",1
1965,to decline from the route,to tell lie,1
1966,"to decorticate, debark","to skin, flay",3
1967,to defecate,to slander,2
1968,to defecate,to waste,1
1969,to deprive,to steal,1
1970,"to destroy, annihilate",fighter plane,1
1971,"to destroy, annihilate",to blunt,1
1972,"to destroy, annihilate",to forgive,1
1973,to die,eclipse,3
1974,to die,paralyzed,1
1975,to die,to abate (about wind),1
1976,to die,to be extinguished (light),1
1977,to die,to fail (of engine),1
1978,to die,to grow numb,3
1979,to die,to set (of heavenly bodies),1
1980,to die,to spoil (intr.),1
1981,to die,to stop doing smth.,1
1982,to die,to want,4
1983,to dig,to find,2
1984,to dig,"to go, walk",1
1985,to dig,to kick,9
1986,to dig,to thrust (into),1
1987,to dilute,to deceive,1
1988,to disappear,to decide,1
1989,to disappear,to die,4
1990,to disappear,to spoil (intr.),1
1991,to dislocate (of a joint),to go mad,1
1992,to dissolve in liquid (tr.),to solve (a problem),7
1993,to divide into several parts,to analyse,2
1994,to do,to copulate,5
1995,to do,to cost,1
1996,to drag,"to charm, to delight",6
1997,to drag,to steal,7
1998,to draw water,to imitate,3
1999,to drill,pain,1
2000,to drink,to smoke (tobacco),6
2001,"to drive, to force to move on","to distill, retort",1
2002,"to drive, to force to move on",to drive (the car),6
2003,"to drive, to force to move on",to raft timber,1
2004,"to drive, to force to move on","to search, to look for",1
2005,"to drive, to force to move on",to tell lie,2
2006,to drop (of liquid),"to accuse, blame",2
2007,to dye,to boast,2
2008,to eat,to ache,2
2009,to eat,to be fed up with,2
2010,to eat,to consume,2
2011,to eat,to corrode,3
2012,to eat,"to destroy, annihilate",2
2013,to eat,to think,1
2014,to emit smoke,censer,1
2015,to emit smoke,to smoke (meat or fish),4
2016,to emit smoke,to smoke (tobacco),11
2017,"to encircle, surround",to understand,1
2018,"to end, finish",to die,8
2019,"to end, finish",to kill,11
2020,to enter,to become infected,1
2021,to enter,to begin (tr.),3
2022,to enter,to cost,1
2023,to enter,"to fall (of rain, snow)",2
2024,to enter,to flow into,2
2025,to enter,to shrink (of textile),1
2026,to extinguish,to close one's eyes,1
2027,to extinguish,"to destroy, annihilate",6
2028,to fall asleep,to be extinguished (light),2
2029,to fall asleep,to die,6
2030,to fall asleep,to go out (of fire),1
2031,to fall asleep,to grow numb,11
2032,to fall asleep,to ice over,2
2033,to fall down,autumn,1
2034,to fall down,cheap,3
2035,to fall down,to attack,4
2036,to fall down,to be born,1
2037,to fall down,to be keen of,4
2038,to fall down,to be related to,1
2039,to fall down,to be solved,1
2040,to fall down,to begin (tr.),1
2041,to fall down,to coincide,10
2042,to fall down,to come,1
2043,to fall down,to decrease drastically,15
2044,to fall down,to die,24
2045,to fall down,"to end, finish",1
2046,to fall down,"to fade, lose colour",2
2047,to fall down,to fail,7
2048,to fall down,"to fall (of rain, snow)",11
2049,to fall down,to fall to one's lot,1
2050,to fall down,to flow into,7
2051,to fall down,to happen,10
2052,to fall down,"to lie prostrate, as in reverence",1
2053,to fall down,to meet accidentally,1
2054,to fall down,to set (of heavenly bodies),8
2055,to fall down,to strike (of lightning),4
2056,to fall down,to suit (of clothes),4
2057,to fear,to turn sour,1
2058,to feed,to bribe,1
2059,to feed,to bring up,10
2060,to feed,"to gas (a car), to refuel",1
2061,to feel,to feel sorry,1
2062,to feel,to hear / to listen,15
2063,to feel,to perceive smell,2
2064,to feel pity,to be greedy,5
2065,to feel pity,to regret,2
2066,to feel pity,"to spare, to economize",2
2067,to fence,to defend,2
2068,"to fight, scuffle",to copulate,1
2069,to fill (tr.),pregnant,1
2070,to fill (tr.),to become infected,1
2071,to fill (tr.),to carry out,11
2072,to fill (tr.),"to end, finish",1
2073,to find,to give birth,2
2074,to find,to have opinion,11
2075,to find,"to learn, find out",1
2076,to find,to meet,6
2077,to find,to reach,1
2078,to fish,to flirt,1
2079,to float,cheerful mood,1
2080,to float,"to move smoothly, gently",2
2081,to float,to pass (of time),1
2082,to float,"to recall, recollect",1
2083,to float,to sway,1
2084,to flow,electricity,8
2085,to flow,meteor shower,1
2086,to flow,to crawl,2
2087,to flow,to pass (of time),5
2088,to fly,quick,1
2089,to fly,to break down,1
2090,to fly,"to escape, flee",1
2091,to fly away,"to evaporate, exhale",1
2092,to fly away,to feel pleasure,1
2093,to fly away,to go overripe,1
2094,"to freeze, be cold",to fear,2
2095,"to freeze, be cold","to worry, be agitated",1
2096,to gamble,to risk,1
2097,to get dry,to feel thirsty,4
2098,to get mouldy (musty),to be angry,1
2099,to get tired,to grow numb,1
2100,to get wet,"to bother, pester",1
2101,"to get, obtain","can, to be able",3
2102,"to get, obtain",must,3
2103,"to get, obtain",to become infected,17
2104,"to get, obtain",to contain,4
2105,"to get, obtain",to manage to do smth,1
2106,"to get, obtain",to receive visitors,5
2107,"to get, obtain",to wait,1
2108,"to get, obtain",to win,5
2109,to give,to let,20
2110,to give,to marry off (a daughter),2
2111,to give,to sell,1
2112,to give,to throw,1
2113,to give birth,to deceive,1
2114,to gnaw,"to carp, find faults",2
2115,to gnaw,to cause moral suffering,17
2116,to go after smb.,next,2
2117,to go after smb.,to act according to,35
2118,to go after smb.,to agree,1
2119,to go after smb.,to be adherent,5
2120,to go after smb.,to be alike,14
2121,to go after smb.,to copulate,1
2122,to go after smb.,to follow logically,9
2123,to go after smb.,"to help, aid",1
2124,to go after smb.,to read,1
2125,to go after smb.,to result in,1
2126,to go after smb.,"to watch, look after",8
2127,to go around,to deceive,2
2128,to go around,to defend,1
2129,to go away,to die,17
2130,to go away,to disappear,3
2131,to go away,to fall down,1
2132,to go away,to marry,1
2133,to go down,to appoint (to a position),1
2134,to go down,to become decrepit,2
2135,to go down,to begin,5
2136,to go down,to begin (tr.),1
2137,to go down,to die,1
2138,to go down,"to fall (of rain, snow)",2
2139,to go down,to get off a vehicle,8
2140,to go down,to go downstream,1
2141,to go down,"to humble, to abase",2
2142,to go down,to lack,1
2143,to go down,to set (of heavenly bodies),6
2144,to go down,to spoil (intr.),2
2145,to go down,to stop doing smth.,1
2146,to go mad,to be angry,3
2147,to go out,"to appear, emerge",3
2148,to go out,to disappear,1
2149,to go out,to dislocate (of a joint),2
2150,to go out,to earth up (plants),1
2151,to go out,"to fade, lose colour",2
2152,to go out,"to fall (of rain, snow)",2
2153,to go out,to follow logically,3
2154,to go out,to get immunity,1
2155,to go out,to go up,6
2156,to go out,to have relationships (romantic or sexual),2
2157,to go out,to result in,5
2158,to go out,to rise (of heavenly bodies),6
2159,to go out,to run out (of smth),4
2160,to go up,difficult,1
2161,to go up,to begin (tr.),2
2162,to go up,to get on a vehicle,5
2163,to go up,to rise (of heavenly bodies),3
2164,to go up,to stand up,5
2165,to go up,to stop (intr.),1
2166,to go up,to succeed,2
2167,to go upstream,to repatriate,1
2168,to go upstream,to struggle,1
2169,"to go, walk",to act,1
2170,"to go, walk",to copulate,2
2171,"to go, walk","to fall (of rain, snow)",7
2172,"to go, walk",to find,3
2173,"to go, walk",to make a move (in a game),2
2174,"to go, walk",to suit (of clothes),1
2175,"to grasp, seize",inclination to smth,1
2176,"to grasp, seize",to be enough,1
2177,"to grasp, seize",to begin (tr.),1
2178,"to grasp, seize","to care for, look after",1
2179,"to grasp, seize",to do,1
2180,"to grasp, seize",to eat,2
2181,"to grasp, seize","to learn, study",1
2182,"to grasp, seize","to light, to kindle (the fire)",1
2183,"to grasp, seize",to steal,5
2184,"to grasp, seize",to understand,41
2185,to greet,to kiss,3
2186,to grow (plants),to rise (of heavenly bodies),3
2187,to guess,to understand,1
2188,to hang,to be suspended,2
2189,to hang,to depend,5
2190,to hang,to weigh (intr.),1
2191,to harness,to force to work,4
2192,to have smell,to indicate something bad,6
2193,to have smell,to smell bad,6
2194,to hear,rumour,2
2195,to hear,"to learn, find out",1
2196,to hear,"to watch, look after",1
2197,to hear,witness,1
2198,to hear / to listen,to know,36
2199,to hear / to listen,to obey,104
2200,to hear / to listen,to understand,32
2201,to heat up,"to beat, hit",3
2202,to heat up,to deceive,3
2203,to hew,to object,2
2204,to hide (tr.),"to hug, embrace",1
2205,to hide (tr.),to steal,4
2206,to hit the target,to guess,4
2207,to hold (in hands),to build,3
2208,to hold (in hands),"to coagulate, curdle",2
2209,to hold (in hands),to contain,7
2210,to hold (in hands),to defend,1
2211,to hold (in hands),to have opinion,6
2212,to hold (in hands),to promise,1
2213,to hold (in hands),to suffer from rheumatism,1
2214,to hunt,fighter plane,10
2215,to hunt,to flirt,1
2216,"to inform, let know","to accuse, blame",1
2217,to insert,to meet,1
2218,to itch,to be angry,1
2219,to itch,to want,2
2220,to join together (tr.),poetry,2
2221,to joke,simple,2
2222,to judge,"to govern, control, rule",3
2223,to kick,to dig,1
2224,to kill,to exhaust,1
2225,to kill,to extinguish,1
2226,to kill,to hunt,2
2227,to kiss,to copulate,1
2228,to kiss,to sting,1
2229,to knock,"to inform, let know",3
2230,to knock down,to depress,1
2231,to knock down,to suppress,1
2232,to know,poetry,1
2233,to know,to copulate,3
2234,to know,to feel,1
2235,to know,to know how,15
2236,to know,to practice witchcraft,3
2237,to know,to understand,9
2238,to know how,"can, to be able",1
2239,to lead,to cause,10
2240,to lead,to drive (the car),3
2241,to lead,"to govern, control, rule",8
2242,to lead,to marry,2
2243,to lean on/against,to endure,2
2244,to leave,to begin,1
2245,to leave,to forgive,1
2246,to leave,to let,8
2247,to leave,to lose,1
2248,to leave behind,to win,1
2249,to lengthen,to dilute,2
2250,"to let, leave",to stop doing smth.,1
2251,to lie (posture),to be situated,10
2252,to lie (posture),to copulate,9
2253,to lie down,to set (of heavenly bodies),2
2254,"to light, to kindle (the fire)",to be resurrected,1
2255,"to light, to kindle (the fire)",to provoke,7
2256,"to light, to kindle (the fire)",to shoot,3
2257,to listen,to keep silent,1
2258,to listen,"to learn, study",1
2259,to live,food,2
2260,to live,"property, possessions",1
2261,to look,to depend,1
2262,to look asquint,to disapprove,1
2263,to look inside,to understand,1
2264,to lose,to be defeated,9
2265,to lose,to forget,1
2266,to lose one's way,to menstruate,1
2267,to love,any,1
2268,to love,to kiss,2
2269,"to lower, put down","to beat, hit",1
2270,"to lower, put down","to disgrace, dishonor",2
2271,"to lower, put down",to stop doing smth.,1
2272,to make a hole,to grow (plants),1
2273,to make a hole,to rise (of heavenly bodies),1
2274,"to make a mistake, be wrong",to sin,6
2275,"to make alive, to give life","to cure, treat (medically)",1
2276,"to make alive, to give life","to repaire, to mend",1
2277,"to make big, large",to bring up,1
2278,"to make common, shared by several people","to inform, let know",1
2279,to make deaf,"to stun, to knock out",4
2280,to make empty,to forgive,1
2281,to make hard,"to learn, study",1
2282,to make noise,to quarrel,6
2283,to make noise,to speak,4
2284,to make noise,"to worry, be agitated",1
2285,to make real,to understand,4
2286,to make sausage,to kill,1
2287,to make scratches,"to draw, paint",5
2288,to make scratches,to write,3
2289,to make sit,to imprison,4
2290,to make sit,to marry off (a daughter),1
2291,to make sit,"to plant, put (a seed or plant) in the ground",6
2292,to make soft,to persuade,1
2293,"to make, create",to give birth,3
2294,to meet,to happen,4
2295,to meet (each other),to quarrel,1
2296,to milk,to derive profit,1
2297,to milk,to extort (money from smb.),5
2298,to milk,to spawn,2
2299,to mill,"to destroy, annihilate",2
2300,to mill,to eat,1
2301,to mill,"to learn, study",1
2302,to mill,to oppress,1
2303,to mill,to purr,1
2304,to mill,to talk nonsense,4
2305,to miss the target,to break deadline,1
2306,"to mix, stir",to confuse (with),6
2307,"to mix, stir",to hinder,6
2308,"to mix, stir",to involve,1
2309,"to mix, stir",to make disordered,2
2310,"to mix, stir","to revolt, rebel",3
2311,"to mix, stir",to spoil (tr.),2
2312,"to mix, stir",to swim,1
2313,"to mix, stir",to waste,1
2314,"to mix, stir","to worry, be agitated",7
2315,to move,to go mad,1
2316,to move,to make a move (in a game),2
2317,to move away,"to destroy, annihilate",5
2318,to move away,to kill,2
2319,to move quickly,to become ready (of food),1
2320,to move quickly,"to care for, look after",1
2321,"to move, to shift, to transfer",to translate,3
2322,to nail,to crucify,2
2323,to nail,to stare,1
2324,to neigh,to laugh,10
2325,to nomadize,to make a move (in a game),2
2326,to open (tr.),to begin (tr.),3
2327,to open (tr.),to explain,2
2328,to open (tr.),to find,2
2329,to open (tr.),to judge,1
2330,to open (tr.),"to learn, find out",5
2331,to open (tr.),"to occupy, to conquest (territory)",1
2332,to open (tr.),to rest,1
2333,to open (tr.),to switch on,3
2334,to open (tr.),to waste,1
2335,to pass by,"to fade, lose colour",2
2336,to pass by,to happen,2
2337,to pass by,to pass (of time),12
2338,to pass by,to stop feeling pain,1
2339,"to penetrate, get into",to understand,2
2340,to perceive smell,to have smell,8
2341,to perceive smell,to know,1
2342,to pierce,to choose,1
2343,to pierce,to copulate,1
2344,to pinch,to offend (tr.),1
2345,to pinch,to steal,1
2346,to play (a musical instrument),to practice witchcraft,1
2347,to play (intr.),joke,5
2348,to play (intr.),to speak,4
2349,to pour,"to beat, hit",1
2350,to practice witchcraft,"to make, create",1
2351,to practice witchcraft,to prevent,1
2352,to pray,mantis,1
2353,"to precede, come first","to go forward, advance",1
2354,"to present, gift",to deceive,1
2355,"to present, gift",to promise,1
2356,to press down,brave,1
2357,to press down,"to approach, come near",2
2358,to press down,"to hatch out, brood",1
2359,to press down,to hide (tr.),1
2360,to press down,to make do smth.,1
2361,to press down,to oppress,12
2362,to press down,to print,5
2363,to press down,"to restrain, control one’s feelings",4
2364,to press down,to suck,1
2365,to press down,to visit,1
2366,to prop up,"to help, aid",16
2367,to pull hair,"to fight, to be at war",1
2368,to pull up (a plant),"to destroy, annihilate",3
2369,"to pull, to draw",to be alike,2
2370,"to pull, to draw","to beat, hit",3
2371,"to pull, to draw",to build,1
2372,"to pull, to draw",to compete (with smn.),3
2373,"to pull, to draw","to distill, retort",1
2374,"to pull, to draw",to distort,1
2375,"to pull, to draw",to draw (an official paper),2
2376,"to pull, to draw","to draw, paint",3
2377,"to pull, to draw",to drink,3
2378,"to pull, to draw",to endure,1
2379,"to pull, to draw","to get a cramp, spasm",1
2380,"to pull, to draw","to govern, control, rule",1
2381,"to pull, to draw",to last,2
2382,"to pull, to draw",to make a move (in a game),2
2383,"to pull, to draw",to milk,2
2384,"to pull, to draw",to row (with oars),2
2385,"to pull, to draw",to shrink (of textile),1
2386,"to pull, to draw","to slow, linger",12
2387,"to pull, to draw","to smear, anoint",1
2388,"to pull, to draw",to smoke (tobacco),8
2389,"to pull, to draw",to thresh (grain),2
2390,"to pull, to draw",to torture,1
2391,to pursue,"to care for, look after",1
2392,to push,to bribe,1
2393,to put,to bake,1
2394,to put,to build,6
2395,to put,to bury,2
2396,to put,"to castrate, geld",2
2397,to put,to decide,1
2398,to put,to defecate,2
2399,to put,"to establish, found",3
2400,to put,to give birth,2
2401,to put,to have opinion,1
2402,to put,to leave,3
2403,to put,"to let grow (of beard, moustaches, hairs)",1
2404,to put into,to bribe,2
2405,to put into,to eat,1
2406,to put into the ground,to bury,10
2407,to put out,to subtract,1
2408,to put out,to tell,1
2409,to put shoes on,to deceive,2
2410,to put together,to reconcile,1
2411,"to raise, lift (tr.)",pregnant,1
2412,"to raise, lift (tr.)",to abolish,12
2413,"to raise, lift (tr.)",to awaken,7
2414,"to raise, lift (tr.)",to begin (tr.),1
2415,"to raise, lift (tr.)",to bring into discussion,3
2416,"to raise, lift (tr.)",to bring up,4
2417,"to raise, lift (tr.)",to build,17
2418,"to raise, lift (tr.)","to discharge, dismiss",1
2419,"to raise, lift (tr.)","to end, finish",2
2420,"to raise, lift (tr.)",to feel sick,2
2421,"to raise, lift (tr.)","to grasp, seize",1
2422,"to raise, lift (tr.)",to plough,1
2423,"to raise, lift (tr.)",to praise,3
2424,"to raise, lift (tr.)","to present, gift",3
2425,"to raise, lift (tr.)",to record,1
2426,to reach,"can, to be able",2
2427,to reach,must,1
2428,to reach,to be enough,6
2429,to reach,to become ready (of food),3
2430,to reach,"to get, obtain",5
2431,to reach,to mature,6
2432,to reach,to ripen,3
2433,to read,to scold,1
2434,to refuse,"to hate, to dislike",1
2435,to rein in,"to restrain, control one’s feelings",2
2436,"to remain, stay",corpse,1
2437,"to remain, stay",to stop doing smth.,2
2438,to remind,to be alike,7
2439,to repeat,"to learn, study",1
2440,to repeat,to tell,2
2441,to respect,"to treat, regale",3
2442,to rest,to die,4
2443,to rest,to stop doing smth.,2
2444,to result in,child (son or daughter),1
2445,to return (intr.),to become,3
2446,to return (intr.),to visit,1
2447,to return (tr.),to answer,8
2448,to revere,to keep the fast,1
2449,"to ride (e.g., a horse)",to copulate,5
2450,to ripen,ready,1
2451,to rise (of heavenly bodies),east,2
2452,to rivet,to work carelessly,2
2453,to rotate (tr.),to ache,1
2454,to rotate (tr.),to dislocate (of a joint),1
2455,to rotate (tr.),to torture,1
2456,to row (with oars),to be sleepy,1
2457,to row (with oars),to fly,2
2458,to rub,to wash (clothes),1
2459,to run,to defecate,1
2460,to run,to happen,1
2461,to run,to result in,1
2462,to run out (of smth),"to charm, to delight",1
2463,to sail,to drive (the car),3
2464,to sail,to fly,7
2465,to sail,to soar,5
2466,to sail into harbour,to copulate,1
2467,to saw,to bite,1
2468,to saw,"to vex, exasperate",1
2469,to scratch (when itches),to quarrel,2
2470,to scratch (with nails),to run away,1
2471,"to search, to look for",to ask (for),18
2472,"to search, to look for",to investigate,11
2473,"to search, to look for","to try, to attempt",18
2474,to see/to look at,to acquire,1
2475,to see/to look at,to act according to,8
2476,to see/to look at,"to beware, be careful",5
2477,to see/to look at,"to care for, look after",27
2478,to see/to look at,"to check, test",2
2479,to see/to look at,to find,4
2480,to see/to look at,to foresee,1
2481,to see/to look at,to guard,1
2482,to see/to look at,to have an appearance,3
2483,to see/to look at,to have experience,8
2484,to see/to look at,to have opinion,21
2485,to see/to look at,to investigate/examine,4
2486,to see/to look at,to know,5
2487,to see/to look at,to like,1
2488,to see/to look at,to meet,15
2489,to see/to look at,"to search, to look for",9
2490,to see/to look at,to tell a person's fortune,3
2491,to see/to look at,"to try, to attempt",7
2492,to see/to look at,to understand,17
2493,to see/to look at,to visit,4
2494,to see/to look at,to wait,14
2495,to seem,to boast,1
2496,to seem,to please,1
2497,to sell,to betray,1
2498,to separate,to decide,3
2499,to separate,to turn off,1
2500,to set upright,to stop doing smth.,4
2501,to shake,"to beat, hit",3
2502,to shake,to distort,1
2503,to shake,to speak,1
2504,to shake off,to get rid of,1
2505,to shave,to deceive,2
2506,to shave,to draft (for the army),1
2507,to shave,"to enculturate, civilize",1
2508,to shear,to deceive,2
2509,to shear,"to destroy, annihilate",2
2510,to shear,to move ears (of animal),2
2511,to shine,to laugh,1
2512,to shine,to seem,1
2513,"to shine, glitter",to become visible,1
2514,"to shine, glitter",to boast,1
2515,"to shine, glitter",to palpitate,1
2516,to shoot,shuttle (weaving instrument),1
2517,to shoot,to ask (for),1
2518,to shoot,"to discharge, dismiss",2
2519,to shoot,to shock (of electric current),1
2520,to shoot,to strike (of lightning),2
2521,to shoot,to tell lie,1
2522,to shout,"to call (somebody), to call for",2
2523,to shout,"to cry, weep",7
2524,"to show, indicate",to teach,4
2525,to shrink,to understand,1
2526,"to shut, to close",to deceive,1
2527,"to shut, to close",to extinguish,1
2528,"to shut, to close",to ignore,1
2529,to sing,rooster,1
2530,to sing,shaman,1
2531,to sing,to conjure,3
2532,to sing,to glorify,16
2533,to sink (tr.),"to conceal, make secret",1
2534,to sink into,to set (of heavenly bodies),8
2535,to sit,to be imprisoned,2
2536,to sit,to be situated,4
2537,to sit,to give birth,1
2538,to sit,"to inhabit, live",10
2539,to sit down,to set (of heavenly bodies),5
2540,to sit down,to shrink (of textile),2
2541,to sit down,to stop doing smth.,1
2542,"to skin, flay",to rob,2
2543,to sleep,motionless,1
2544,to sleep,temple (region of skull),3
2545,to sleep,to copulate,7
2546,to slide,to fail,1
2547,to slide,"to make a mistake, be wrong",1
2548,to slide,to shirk,1
2549,"to smear, anoint","to adorn, decorate",2
2550,"to smear, anoint","to beat, hit",4
2551,"to smear, anoint",to bribe,16
2552,"to smear, anoint",to clean,2
2553,"to smear, anoint","to cure, treat (medically)",1
2554,"to smear, anoint",to deceive,3
2555,"to smear, anoint","to disgrace, dishonor",1
2556,"to smear, anoint",to spit,1
2557,to smell bad,"polecat, ferret (Mustela putorius)",1
2558,to smell bad,to quarrel,2
2559,to smile,to please,5
2560,to smooth,to lick,1
2561,"to soil, make dirty","to disgrace, dishonor",12
2562,"to soil, make dirty",to waste,1
2563,to sow,to drop (of liquid),2
2564,to sow,to inoculate,1
2565,to sow,to invest,2
2566,to sow,to lose,2
2567,to speak,to correspond,1
2568,to speak,to give orders,7
2569,to speak,to have opinion,4
2570,to speak,to live,1
2571,to speak,to promise,1
2572,to speak,to quarrel,1
2573,to speak,to read,2
2574,to spit,to bless,1
2575,to spit,to despise,2
2576,to spoil (intr.),to grieve (intr.),1
2577,to spoil (tr.),to deflorate,2
2578,to spoil (tr.),to pamper,3
2579,to spoil (tr.),"to put the evil eye (on), to bedevil",2
2580,to spoil (tr.),to win,1
2581,"to spring, jump",to attack,1
2582,"to spring, jump","to be better than, to surpass",1
2583,"to spring, jump",to copulate,1
2584,"to spring, jump",to dance,13
2585,"to spring, jump",to rise (of heavenly bodies),1
2586,"to spring, jump",to shrink (of textile),2
2587,"to spring, jump","to skip over, overlook",1
2588,to sprinkle,to cut (tr.),1
2589,to sprinkle,to run,4
2590,to stand,to be situated,5
2591,to stand,"to be, to take place",2
2592,to stand,to become,2
2593,to stand,to befit,1
2594,to stand,to consist of,1
2595,to stand,to cost,5
2596,to stand,to depend,1
2597,to stand,to get tired,2
2598,to stand,"to help, aid",1
2599,to stand,to stop (intr.),2
2600,to stand up,to be resurrected,3
2601,to stand up,to happen,1
2602,to stand up,"to revolt, rebel",9
2603,to stand up,to stop moving,1
2604,to steal,to take,1
2605,to step on,to attack,2
2606,to step on,to begin,2
2607,"to stick (to a surface), to adhere",greedy,1
2608,"to stick (to a surface), to adhere",to become infected,1
2609,"to stick (to a surface), to adhere","to bother, pester",3
2610,"to stick (to a surface), to adhere",to flirt,2
2611,to sting,to induce,2
2612,to strain,to grieve (tr.),2
2613,to strain,to prepare,1
2614,to strew,"rash, eruption",1
2615,to strew,to hinder,1
2616,to struggle,ruff (bird),4
2617,to stumble,"to make a mistake, be wrong",1
2618,to swallow,quinsy,1
2619,to sway,to avoid,1
2620,to sway,to doubt,13
2621,to sway,"to walk, wander",4
2622,to sway,"to worry, be agitated",7
2623,to swear (an oath),"to swear, curse",9
2624,to sweat,"to worry, be agitated",1
2625,to sweep,to distract,1
2626,to sweep,to refuse,1
2627,to swell up,to be angry,4
2628,to swell up,to swagger,2
2629,to swim,to climb,1
2630,to take,to bring to order,1
2631,to take,to buy,14
2632,to take,"to ferment, yeast",1
2633,to take,to marry,5
2634,to take,to subtract,3
2635,to take off (tr.),to move away,2
2636,to take out,"to distill, retort",1
2637,to take prisoner,"to charm, to delight",6
2638,to tame,to kill,1
2639,to taste,to feel (an emotion),10
2640,to taste,to like,1
2641,to teach,to punish,2
2642,"to tear off, peel off","to carp, find faults",1
2643,"to tear off, peel off",to make empty,1
2644,"to tear, rend",to eat,1
2645,"to tear, rend",to flog,1
2646,"to tear, rend",to move quickly,2
2647,"to tear, rend",to vomit,1
2648,to tell,to ask for consent to marriage,1
2649,to tell,to like,1
2650,to tell,to name,1
2651,to tell a person's fortune,"to loaf, do nothing",1
2652,to think,to grieve (intr.),2
2653,to think,to intend,12
2654,to think,"to recall, recollect",5
2655,to throw,"to accuse, blame",2
2656,to throw,to begin,1
2657,to throw,to cast out,2
2658,to throw,to copulate,1
2659,to throw,"to draw, paint",1
2660,to throw,to kick,1
2661,to throw,to run,1
2662,to throw,to shoot,11
2663,to throw,to speak,2
2664,to throw,"to spring, jump",1
2665,to throw,to stop doing smth.,8
2666,to throw,to tell lie,1
2667,to throw,to winnow,1
2668,to thrust (into),to ache,10
2669,to thrust (into),"to butt, to hit with the horns",3
2670,to thrust (into),to practice witchcraft,1
2671,to thrust (into),to quarrel,1
2672,to tickle,to make noise,2
2673,to tie,strong,1
2674,to tie,to begin (tr.),6
2675,to tie,"to conceive, to become pregnant",1
2676,to tie,to form the fruit (of plant),1
2677,to tie,to stop doing smth.,3
2678,to tin,"to disgrace, dishonor",2
2679,to touch,to be related to,4
2680,to touch,to become infected,2
2681,to touch,to cause to moving,1
2682,to touch,"to communicate, be on friendly terms",1
2683,to touch,to evoke (a feeling),7
2684,to touch,to hit the target,1
2685,to touch,to offend (tr.),4
2686,to touch,to reach,4
2687,to touch,"to soil, make dirty",1
2688,to transit,to become,3
2689,to transit,to infringe,1
2690,to transit,"to surpass, exceed",1
2691,to transit,to win,1
2692,to tread,to copulate,7
2693,to tread,"to destroy, annihilate",1
2694,to tread,to infringe,1
2695,to tread,to oppress,2
2696,to tread,to thresh (grain),3
2697,to tremble,to fear,19
2698,"to try, to attempt","to fit, try on",1
2699,to turn back to look at smth.,to return (intr.),1
2700,to turn over,to fail,1
2701,to turn round,"to appear, emerge",1
2702,to turn sour,to grieve (intr.),4
2703,"to turn, rotate (intr.)","to address (someone), to speak (to someone)",1
2704,"to turn, rotate (intr.)",to become,15
2705,"to turn, rotate (intr.)",to feel dizzy,6
2706,"to turn, rotate (intr.)",to return (intr.),5
2707,"to turn, rotate (intr.)",to stop doing smth.,2
2708,"to turn, rotate (tr.)",to change (tr.),3
2709,"to turn, rotate (tr.)",to distort,2
2710,"to turn, rotate (tr.)","to govern, control, rule",1
2711,"to turn, rotate (tr.)",to invest,1
2712,"to turn, rotate (tr.)",to translate,6
2713,to understand,to obey,1
2714,to undress (intr.),to challenge,1
2715,to undress (tr.),to rob,3
2716,to undress (tr.),"to skin, flay",2
2717,"to unfold, unwind",to create a text,1
2718,"to unfold, unwind",to develop,6
2719,"to unfold, unwind",to go after smb.,1
2720,"to untie, unbind",to begin (tr.),1
2721,"to untie, unbind",to explain,9
2722,"to untie, unbind",to forgive,1
2723,"to untie, unbind",to let,1
